id,name,category,website,does,auth,auth_detail,gate,gate_detail,surface,breadth,mcp,verdict,blocker,evidence,confidence,notes
81,Stripe,Finance & Fintech,stripe.com/docs/api,Provides payment processing and financial infrastructure for internet businesses.,API key,Secret and Publishable API keys.,Open self-serve,Developers can sign up for an account and generate API keys from the dashboard.,Documented REST,"Extremely broad, covering payments, subscriptions, invoicing, connect, radar, sigma, etc.",Yes (official),Ready,,stripe.com/docs/api,5,
82,Plaid,Finance & Fintech,plaid.com/docs,Connects applications to bank accounts for financial data aggregation and payments.,API key,"Client ID, Secret, and per-user Access Tokens.",Open self-serve,"Developers sign up for a free sandbox account, then apply for production access.",Documented REST,"Broad, covering transactions, auth, identity, balance, investments, liabilities, payments, assets.",Yes (official),Ready,,plaid.com/docs,5,
83,Binance,Finance & Fintech,binance-docs.github.io,Cryptocurrency exchange platform for trading various digital assets.,API key,API Key and Secret Key for HMAC-signed requests.,Open self-serve,Users generate API keys from their account security settings.,Documented REST,"Very broad, covering market data, trading, account management, futures, options, etc.",Yes (official),Ready,,binance-docs.github.io,4,
84,Paygent Connect,Finance & Fintech,paygent (NMI-powered),"Payment gateway, primarily for the Japanese market.",HMAC,"Merchant ID, transaction key, and secure hashing for request signing.",Contact sales / partner,Requires direct engagement with Paygent sales or partners for integration details and credentials.,SDK/API limited,"Focused on payment processing, credit card, convenience store payments, etc.",No,Blocked,"Integration often requires direct partnership and specific SDKs, not a general-purpose public API. Documentation is usually behind a partner portal.",paygent.co.jp,3,
85,iPayX,Finance & Fintech,ipayx.ai/docs,"Payment processing and billing solutions, often for specific industries.",API key,"API keys or tokens, likely specific to merchant accounts.",Contact sales / partner,Requires direct contact with iPayX sales for API access and integration.,SDK/API limited,"Focused on payment collection, invoicing, and reconciliation.",No,Blocked,Likely requires direct engagement for API access and specific integration details.,ipayx.ai/docs,2,
86,QuickBooks,Finance & Fintech,developer.intuit.com,Accounting software for small and medium-sized businesses.,OAuth2,"OAuth2 for user authorization, Client ID/Secret for app identification.",Open self-serve,Developers register an app on the Intuit Developer Portal to get credentials.,Documented REST,"Very broad, covering accounting, customers, vendors, invoices, payments, payroll, inventory.",Yes (official),Ready,,developer.intuit.com,5,
87,Xero,Finance & Fintech,developer.xero.com,Cloud-based accounting software for small and medium-sized businesses.,OAuth2,"OAuth2 for user authorization, Client ID/Secret for app identification.",Open self-serve,Developers register an app on the Xero Developer Portal to get credentials.,Documented REST,"Broad, covering accounting, contacts, invoices, payments, payroll, bank feeds.",Yes (official),Ready,,developer.xero.com,5,
88,Brex,Finance & Fintech,developer.brex.com,"Financial products for startups and growing businesses, including corporate cards, cash management, and spend management.",OAuth2,"OAuth2 for user authorization, API keys for direct access or app identification.",Open self-serve,Developers can sign up on the Brex developer portal to create applications and obtain credentials.,Documented REST,"Broad, covering transactions, cards, accounts, expenses, spend limits.",Yes (official),Ready,,developer.brex.com,4,
89,Ramp,Finance & Fintech,docs.ramp.com,Corporate cards and spend management platform for businesses.,OAuth2,"OAuth2 for user authorization, API keys for direct access or app identification.",Open self-serve,Developers can sign up on the Ramp developer portal to create applications and obtain credentials.,Documented REST,"Broad, covering transactions, cards, expenses, reimbursements, vendors.",Yes (official),Ready,,docs.ramp.com,4,
90,PitchBook,Finance & Fintech,pitchbook.com,Provides data and insights on the private and public equity markets.,API key,"API keys, often tied to specific data entitlements.",Contact sales / partner,"API access is typically part of an enterprise data subscription, requiring direct sales engagement.",SDK/API limited,"Focused on company, investor, deal, and person data.",No,Blocked,API access is typically part of an enterprise data subscription and requires direct engagement with sales.,pitchbook.com,4,
91,NotebookLM,"AI, Research & Media",cloud.google.com/gemini,"An AI-powered research assistant from Google, helps organize and synthesize information from user-provided sources.",OAuth2,Google Cloud OAuth2 for API access.,Open self-serve,Developers can enable API access via Google Cloud Console.,Documented REST,"Moderate, focused on document ingestion and query.",No,Ready,,cloud.google.com/gemini,3,
92,Otter AI,"AI, Research & Media",help.otter.ai,Provides AI-powered transcription and meeting notes.,API key,API key for programmatic access.,Open self-serve,Self-service developer portal for key generation.,Documented REST,"Good, for managing transcripts, users, and meetings.",Unclear,Ready,,help.otter.ai,4,
93,Fathom,"AI, Research & Media",fathom.video,"AI meeting assistant that records, transcribes, and summarizes video calls.",API key,API key or OAuth2 for integrations.,Open self-serve,Developer dashboard for API key management.,Documented REST,"Moderate, for accessing recordings, transcripts, and summaries.",No,Ready,,fathom.video,3,
94,Consensus,"AI, Research & Media",consensus.app,"An AI search engine for academic research, summarizing findings from papers.",API key,API key for search queries.,Open self-serve,"Developer portal for API key access, possibly tiered.",Documented REST,Focused on search and results retrieval.,No,Ready,,consensus.app,3,
95,Reducto,"AI, Research & Media",reducto.ai,An AI tool for redacting sensitive information from documents and media.,API key,API key for redaction tasks.,Open self-serve,Self-service portal for API key generation.,Documented REST,Focused on redaction tasks.,No,Ready,,reducto.ai,3,
96,Devin,"AI, Research & Media",docs.devin.ai,An AI software engineer that can autonomously complete engineering tasks.,Other,Likely proprietary authentication for specific integrations.,Contact sales / partner,Access controlled through partnerships or specific enterprise agreements.,SDK/API limited,"Limited, if any, for external integration.",No,Blocked,"Unclear if a public API for programmatic control/integration exists, or if it's primarily an end-user tool.",docs.devin.ai,2,
97,higgsfield,"AI, Research & Media",higgsfield.ai/cli,"A platform for building and deploying AI models, often with a focus on CLI interaction.",Token,API token for CLI and programmatic access.,Open self-serve,Account creation and token generation via web portal or CLI.,SDK/API limited,Focused on model management and deployment.,No,Ready with caveats,"API might be primarily CLI-driven, requiring specific tooling or wrappers.",higgsfield.ai/cli,3,
98,Mermaid CLI,"AI, Research & Media",github.com/mermaid-js/mermaid-cli,A command-line interface tool for rendering Mermaid diagrams from text.,None,"N/A, local tool.",N/A (no auth),"N/A, local tool.",No public API,N/A,No,Blocked,"It's a local CLI tool, not a SaaS with a public API for integration.",github.com/mermaid-js/mermaid-cli,5,
99,YouTube Transcript,"AI, Research & Media",transcriptapi.com,Provides an API to fetch transcripts from YouTube videos.,API key,API key for transcript retrieval.,Paid self-serve,Subscription-based access via website.,Documented REST,"Narrow, focused on YouTube transcript retrieval.",No,Ready,,transcriptapi.com,4,
100,Grain,"AI, Research & Media",grain.com,"AI meeting assistant that records, transcribes, and summarizes video calls.",API key,API key or OAuth2 for integrations.,Open self-serve,Developer dashboard for API key management.,Documented REST,"Moderate, for accessing recordings, transcripts, and summaries.",No,Ready,,grain.com,3,
